author,author_lat,lang,geo,erme_geo,birth_date,comment
"Иркаев, Николай Лазаревич",,myv,с. Курилово_Ромодановской район,|Myv:MR_Kurilovo;RU;54.466667;45.466667|,19060522_19780615,(Никул Эркай)
"Никул Эркай",,myv,с. Курилово_Ромодановской район,|Myv:MR_Kurilovo;RU;54.466667;45.466667|,19060522_19780615,(>Иркаев, Николай Лазаревич)
"Исланкин, Юрий Иванович",,myv,с. Ичалки_Ичалковский район,|Myv:MR_Ichalki;RU;54.687222;45.27|,19390726_,(Од Ицялонь сон)
"Иткин, С.?? ???",,mdf,,,,
"Ишуткин, Николай Иванович",,myv,с. Симкино_Большеберезниковский район,|Myv:MR_BolBerSimkino;RU;54.255;46.172|,19540528_20210112,
"Кавкайкин, Николай ???",,myv,,,,
"Кадоркин, Александр Сергеевич",,myv,с. Козловка_Атяшевский район,|Myv:MR_Kozlovka;RU;54.701667;45.908333|,1938????_19931005,
"Калинкин, Иван Алексеевич",,myv,с. Челдаево_Инзенский район Уляновская область,|Myv:UO_Chej;RU;54.158333;46.432778|,19350623_,
"Карасёв, Алексей Иванович",,mdf,с. Карсаевка_Белинский район,|Mdf:PO_Kars;RU;52.990231;43.220338|,19100312_19800721,
"Каргин, Василий ???",,mdf,с. ХХ_ХХ район,|Mdf:_;RU;_;_|,19??0??0_,
"Карчеганов, Владимир ???",,mdf,с. ХХ_ХХ район,|Mdf:_;RU;_;_|,19??0??0_,
"Каткин, Н. ???",,mdf,с. ХХ_ХХ район,|Mdf:_;RU;_;_|,19??0??0_,
"Келин, Михаил Александрович",,mdf,с. ХХ_ХХ район,|Mdf:_;RU;_;_|,19??0??0_,
"Кинякин, Сергей Васильевич",,mdf,с. Пичпанда_Зубово-Полянский район,|Mdf:MR_Pichpanda;RU;53.873056;42.965|,19370924_,
"Кирдяшкин, Тимофей Андреевич",,mdf,др. Старое Мамингино_Рыбкинский/Ковылкинский район,|Mdf:Mamangino;RU;54.187333;43.653500|,18880304_1972,
"Кириллов, Пётр Семёнович",,myv,с. Малый Толкай_Похвистневский район,|Myv:MalyjTolkaj;RU;53.65;52.133333|,19100708_19551124,(Пётр Эрьке;Пшти Пеель; Уро)
"Кишняков, Илья Прокофьевич",,mdf,с. Нагорное Алёксово/Паёво_Кадошкинский район,|Mdf:Aleks;RU;54.016667;44.216667|,19220720_1982,
"Кирюшкин, Борис Ефимович",,mdf,с. Колопино_Ковылкинский район,|Mdf:MR_Kolopa;RU;54.366667;44.15|,19180824_19810308,
"Кирюшкина, Раиса",,mdf,,,,
"Киушкина, Диана",,myv,с. Гузынцы_Большеберезниковский район,|Myv:MR_Guzyncy;RU;54.18811;45.698618|,1950????_,
"Кишняков, Илья Прокофьевич",,mdf,с. Нагорное Алексеево_Кадошкинский район,|Mdf:MR_NagornoeAlekseevo;RU;54.030278;44.403889|,19220720_19820723,
"Ключагин, Пётр Андреевич",,myv,с. Кулясово_Атяшевский район,|Myv:MR_Kulâsovo;RU;54.563611;46.066944|,19360618_20210831,
"Ковнин, Матвей ???",,mdf,с. ХХ_ХХ район,|Mdf:_;RU;_;_|,19??0??0_,
"Кожурин, Юрий Ф.",,mdf,с. Юнки_Торбеевскский район,|Mdf:MR_Junki;RU;54.146111;43.460278|,19450908_,
"Коломасов, Василий Максимович",,myv,с. Старый Найман_Большеберезниковский район,|Myv:MR_StNajmany;RU;54.266667;45.933333|,19090814_19870306,
"Коломасов, Николай Васильевич",,myv,с. Старый Найман_Большеберезниковский район,|Myv:MR_StNajmany;RU;54.266667;45.933333|,19311005_,
"Колядёнков, М. Н.",,myv,с. Ичалки_Ичалковский район,|Myv:MR_Ichalki;RU;54.687222;45.27|,18960521_,
"Коньков, Владимир ???",,myv,,,,
"Корчеганов, Владимир Николай",,mdf,д. Садовка_Ковылкинский район,|Mdf:MR_KovylSadovka;RU;54.084167;43.710833|,19410309_,
"Косов, Алексей Алексеевич",,mdf,с. Анаево_Зубово-Полянский район,|Mdf:An;RU;54.236895;42.564523|,19320308_,
"Костяйкин, Фёдор Максимович",,mdf,с. Кишалы_Атюревьский район,|Mdf:MR_Kishaly;RU;54.375;43.200833|,19??0??0_,
"Кривошеев, Илья Петрович",,myv,с. Пылковский_Лопатинский район,|Myv:PO_Pylkovo;RU;52.6875;45.869444|,18980719_19670911,(Илька Морыця)
